/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
ㄴ/ㄼ,낣,낿,냛,냷,넓,넯,녋,녧,놃,뇳,눏,뉿,늛,닓,놟,뇗,놻,눫,뉣,뉇,늷
ㄴ/ㄽ,낤,냀,냜,냸,넔,넰,녌,녨,놄,뇴,눐,늀,늜,닔,놠,뇘,놼,눬,뉤,뉈,늸
ㄴ/ㄾ,낥,냁,냝,냹,넕,넱,녍,녩,놅,뇵,눑,늁,늝,닕,놡,뇙,놽,눭,뉥,뉉,늹
ㄴ/ㄿ,낦,냂,냞,냺,넖,넲,녎,녪,놆,뇵,눒,늂,늞,닖,놢,뇚,놾,눮,뉦,뉊,늺
ㄴ/ㅀ,낧,냃,냟,냻,넗,넳,녏,녫,놇,뇷,눓,늃,늟,닗,놣,뇛,놿,눯,뉧,뉋,늻
ㄴ/ㅄ,낪,냆,냢,냾,넚,넶,녒,녮,놊,뇺,눖,늆,늢,닚,놦,뇞,뇂,눲,뉪,뉎,늾
ㄴ/ㅆ,났,냈,냤,넀,넜,넸,녔,녰,놌,뇪,눘,늈,늤,닜,놨,뇠,뇄,눴,뉬,뉐,닀
ㄷ/:,다,대,댜,댸,더,데,뎌,뎨,도,됴,두,듀,드,디,돠,되,돼,둬,뒤,뒈,듸
ㄷ/ㄱ,닥,댁,댝,댹,덕,덱,뎍,뎩,독,됵,둑,듁,득,딕,돡,됙,돽,둭,뒥,뒉,듹
ㄷ/ㄴ,단,댄,댠,댼,던,덴,뎐,뎬,돈,됸,둔,듄,든,딘,돤,된,됀,둰,뒨,뒌,듼
ㄷ/ㄷ,닫,댇,댣,댿,덛,덷,뎓,뎯,돋,됻,둗,듇,듣,딛,돧,됟,됃,둳,뒫,뒏,듿
ㄷ/ㄹ,달,댈,댤,덀,덜,델,뎔,뎰,돌,됼,둘,듈,들,딜,돨,될,됄,둴,뒬,뒐,딀
ㄷ/ㅁ,담,댐,댬,덈,덤,뎀,뎜,뎸,돔,둄,둠,듐,듬,딤,돰,됨,됌,둼,뒴,뒘,딈
ㄷ/ㅂ,답,댑,댭,덉,덥,뎁,뎝,뎹,돕,둅,둡,듑,듭,딥,돱,됩,됍,둽,뒵,뒙,딉
ㄷ/ㅅ,닷,댓,댯,덋,덧,뎃,뎟,뎻,돗,둇,둣,듓,듯,딧,돳,됫,됏,둿,뒷,뒛,딋
ㄷ/ㅇ,당,댕,댱,덍,덩,뎅,뎡,뎽,동,둉,둥,듕,등,딩,돵,됭,됑,뒁,뒹,뒝,딍
ㄷ/ㅈ,닺,댖,댲,덎,덪,뎆,뎢,뎾,돚,둊,둦,듖,듲,딪,돶,됮,됒,뒂,뒺,뒞,딎
ㄷ/ㅊ,닻,댗,댳,덏,덫,뎇,뎣,뎿,돛,둋,둧,듗,듳,딫,돷,됯,됓,뒃,뒻,뒟,딏
ㄷ/ㅋ,닼,댘,댴,덐,덬,뎈,뎤,돀,돜,둌,둨,듘,듴,딬,돸,됰,됔,뒄,뒼,뒠,딐
ㄷ/ㅌ,닽,댙,댵,덑,덭,뎉,뎥,돁,돝,둍,둩,듙,듵,딭,돹,됱,됕,뒅,뒽,뒡,딑
ㄷ/ㅍ,닾,댚,댶,덒,덮,뎊,뎦,돂,돞,둎,둪,듚,듶,딮,돺,됲,됖,뒆,뒾,뒢,딒
ㄷ/ㅎ,닿,댛,댷,덓,덯,뎋,뎧,돃,돟,둏,둫,듛,듷,딯,돻,됳,됗,뒇,뒿,뒣,딓
ㄷ/ㄲ,닦,댂,댞,댺,덖,덲,뎎,뎪,돆,됶,둒,듂,듞,딖,돢,됚,돾,둮,뒦,뒊,듺
ㄷ/ㄳ,닧,댃,댟,댻,덗,덳,뎏,뎫,돇,됷,둓,듃,듟,딗,돣,됛,돿,둯,뒧,뒋,듻
ㄷ/ㄵ,닩,댅,댡,댽,덙,덵,뎑,뎭,돉,됹,둕,듅,듡,딙,돥,됝,됁,둱,뒩,뒍,듽
ㄷ/ㄶ,닪,댆,댢,댾,덚,덶,뎒,뎮,돊,됺,둖,듆,듢,딚,돦,됞,됂,둲,뒪,뒎,듾
ㄷ/ㄺ,닭,댉,댥,덁,덝,덹,뎕,뎱,돍,됽,둙,듉,듥,딝,돩,됡,됅,둵,뒭,뒑,딁
ㄷ/ㄻ,닮,댊,댦,덂,덞,덺,뎖,뎲,돎,됾,둚,듊,듦,딞,돪,됢,됆,둶,뒮,뒒,딂
ㄷ/ㄼ,닯,댋,댧,덃,덟,덻,뎗,뎳,돏,됿,둛,듋,듧,딟,돫,됣,됇,둷,뒯,뒓,딃
ㄷ/ㄽ,닰,댌,댨,덄,덠,덼,뎘,뎴,돐,둀,둜,듌,듨,딠,돬,됤,됈,둸,뒰,뒔,딄
